FID,OBJECTID,SHAPE,BEZIRK,STRNAM,ONRTXT,NUMMER,TELEFON,WEITERE_INFORMATION,SE_ANNO_CAD_DATA
HUNDESACKERLOGD.66344740,66344740,POINT (16.29145426013559 48.16080645262053),23,Atzgersdorfer Straße,171,1296,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66344757,66344757,POINT (16.404909842158023 48.1735864111687),11,Hauffgasse,41,1346,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66344758,66344758,POINT (16.320069125332683 48.21839037554142),16,Effingergasse,# Wattgasse,3853,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66344759,66344759,POINT (16.320371479023695 48.21933922551526),16,Albrechtskreithgasse,# Wattgasse,3852,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66344760,66344760,POINT (16.320576011075747 48.220008475305185),16,Paletzgasse,# Wattgasse,3851,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66344761,66344761,POINT (16.393149181335588 48.179923271469164),3,Lilienthalgasse,5,3753,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66344762,66344762,POINT (16.381068606697983 48.217074323791344),2,Taborstraße,# Glockengasse,0017,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66344763,66344763,POINT (16.349798096203138 48.14097255487373),23,Vösendorfer Straße,99,1065,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66344764,66344764,POINT (16.421113473214785 48.21320119259861),2,Dr.-Natterer-Gasse,ggü. 6,1076,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66344765,66344765,POINT (16.390680795209764 48.18790438526334),3,Ghegastraße,2,3688,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66344766,66344766,POINT (16.385723840438754 48.21526506307876),2,Praterstraße,42,2559,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66344767,66344767,POINT (16.320278351597782 48.2182446625117),17,Lobenhauerngasse,# Wattgasse,3839,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66344768,66344768,POINT (16.40711563549848 48.242425376772566),21,Warhanekgasse,# Walkergasse,3842,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66344769,66344769,POINT (16.28550126718478 48.228701332368985),17,Schrammelgasse,# Kleegasse,3835,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66344770,66344770,POINT (16.376917267067267 48.27954594684968),21,Kormorangasse,ggü. 26,2792,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
